日付,仕訳番号,伝票摘要,行番号,借貸,勘定科目コード,勘定科目名,補助科目コード,補助科目名,取引先コード,取引先名,分析コード,分析コード名,基準金額,税額,合計金額,税区分,明細摘要
2025/01/03,20250103000001,"than oof",1,D,1010,"普通預金",,"",,"",,"",13790,1379,15169,"非課税(0%)",""
2025/01/03,20250103000001,"than oof",2,C,4000,"売上高",,"",,"",,"",13790,1379,15169,"消費税10%(10%)",""
2025/01/07,20250107000001,"violently spear thankfully if",1,D,1000,"現金",,"",,"",,"",29547,2955,32502,"非課税(0%)",""
2025/01/07,20250107000001,"violently spear thankfully if",2,C,2000,"買掛金",,"",,"",,"",29547,2955,32502,"非課税(0%)",""
2025/03/07,20250307000001,"bookend before where yahoo only",1,D,6000,"給料手当",,"",,"",,"",94185,9419,103604,"非課税(0%)",""
2025/03/07,20250307000001,"bookend before where yahoo only",2,C,4000,"売上高",,"",,"",,"",94185,9419,103604,"消費税10%(10%)",""
2025/03/10,20250310000001,"for unless aha",1,D,5000,"仕入高",,"",,"",,"",42673,4267,46940,"消費税10%(10%)",""
2025/03/10,20250310000001,"for unless aha",2,C,4000,"売上高",,"",,"",,"",42673,4267,46940,"消費税10%(10%)",""
2025/03/15,20250315000001,"past petal fooey amongst provided soupy",1,D,1010,"普通預金",,"",,"",,"",29793,2979,32772,"非課税(0%)",""
2025/03/15,20250315000001,"past petal fooey amongst provided soupy",2,C,4000,"売上高",,"",,"",,"",29793,2979,32772,"消費税10%(10%)",""
2025/03/17,20250317000001,"mmm lowball where",1,D,1000,"現金",,"",,"",,"",60281,6028,66309,"非課税(0%)",""
2025/03/17,20250317000001,"mmm lowball where",2,C,4000,"売上高",,"",,"",,"",60281,6028,66309,"消費税10%(10%)",""
2025/04/06,20250406000001,"minister harmful",1,D,1010,"普通預金",,"",,"",,"",45107,4511,49618,"非課税(0%)",""
2025/04/06,20250406000001,"minister harmful",2,C,4000,"売上高",,"",,"",,"",45107,4511,49618,"消費税10%(10%)",""
2025/04/09,20250409000001,"elegant swiftly partially zowie",1,D,1010,"普通預金",,"",,"",,"",77984,7798,85782,"非課税(0%)",""
2025/04/09,20250409000001,"elegant swiftly partially zowie",2,C,4000,"売上高",,"",,"",,"",77984,7798,85782,"消費税10%(10%)",""
2025/05/20,20250520000001,"masquerade meanwhile recede obediently restructure",1,D,5000,"仕入高",,"",,"",,"",88800,8880,97680,"消費税10%(10%)",""
2025/05/20,20250520000001,"masquerade meanwhile recede obediently restructure",2,C,2000,"買掛金",,"",,"",,"",88800,8880,97680,"非課税(0%)",""
